Name,latitude,longitude,Phylum
Insecta,27.6,85.4,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.4,83.6,Arthropoda
Insecta,28.35,83.7,Arthropoda
Liliopsida,28.35,83.7,Arthropoda
Magnoliopsida,28.35,83.7,Magnoliophyta
Magnoliopsida,28.35,83.7,Magnoliophyta
Magnoliopsida,28.35,83.7,Magnoliophyta
Insecta,28.35,83.7,Magnoliophyta
Insecta,28.22,83.43,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,28.34,83.5,Arthropoda
Insecta,29.4667,82.1,Arthropoda
Insecta,29.72,80.77,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,28.2144,83.967,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Magnoliopsida,27.5996,83.7273,Arthropoda
Magnoliopsida,27.5996,83.7273,Magnoliophyta
Magnoliopsida,27.256,87.488,Magnoliophyta
Magnoliopsida,27.37,87.461,Magnoliophyta
Insecta,27.37,87.461,Magnoliophyta
Insecta,27.37,87.461,Arthropoda
Mammalia,27.37,87.461,Arthropoda
Mammalia,27.37,87.461,Chordata
Aves,27.37,87.461,Chordata
Insecta,27.37,87.461,Chordata
Insecta,27.37,87.461,Arthropoda
Insecta,27.37,87.461,Arthropoda
Insecta,27.37,87.461,Arthropoda
Gastropoda,27.37,87.461,Arthropoda
Bivalvia,27.37,87.461,Mollusca
Bivalvia,27.37,87.461,Mollusca
Gastropoda,27.37,87.461,Mollusca
Insecta,28.9639,80.1867,Mollusca
Actinopterygii,28.9639,80.1867,Arthropoda
Insecta,29.0403,81.44,Chordata
Insecta,29.0403,81.44,Arthropoda
Insecta,29.0403,81.44,Arthropoda
Insecta,29.0403,81.44,Arthropoda
Insecta,29.0403,81.44,Arthropoda
Insecta,29.0403,81.44,Arthropoda
